Thương hiệu,Model,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Số chỗ ngồi,Số cửa,Dẫn động,Giá thành,Loại nhiên liệu,Dung tích động cơ,Đơn vị động cơ,Tuổi
VinFast,Fadil,Used,40000,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,315,Gas ,1.4,L,3
VinFast,Lux SA 2.0,Used,60000,Domestic,SUV,Automatic,7,5,Full Time 4 Wheel Drive,775,Gas ,2.0,L,3
Mazda,3,Used,30000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,585,Gas ,1.5,L,1
Kia,Cerato,Used,72000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,386,Gas ,1.6,L,7
Ford,EcoSport,Used,35000,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,450,Gas ,1.5,L,3
Ford,Ranger,Used,49000,Imported,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,569,Diesel ,2.0,L,4
Lexus,GX,Used,79000,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,1350,Gas ,4.6,L,14
Mercedes Benz,G class,Used,10000,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,10200,Gas ,4.0,L,2
Mercedes Benz,S class,Used,67000,Imported,Sedan,Automatic,4,4,RFD - Rear Wheel Drive,1600,Gas ,5.5,L,12
Ford,Territory,New,0,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,780,Gas ,1.5,L,0
Chevrolet,Captiva,Used,16,Domestic,SUV,Manual,7,5,FWD - Front Wheel Drive,155,Gas ,2.4,L,15
VinFast,Lux SA 2.0,Used,50000,Domestic,SUV,Automatic,7,5,Full Time 4 Wheel Drive,740,Gas ,2.0,L,4
Hyundai,i10,Used,58000,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,316,Gas ,1.25,L,5
Mitsubishi,Triton,Used,24000,Imported,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,535,Diesel ,2.4,L,2
Ford,Fiesta,Used,72000,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,289,Gas ,1.0,L,7
Mazda,2,Used,93000,Imported,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,515,Diesel ,2.2,L,2
LandRover,Range Rover,Used,56000,Imported,SUV,Automatic,4,5,Full Time 4 Wheel Drive,7990,Gas ,5.0,L,4
Porsche,Macan,Used,3800,Imported,SUV,Automatic,5,5,Full Time 4 Wheel Drive,3333,Gas ,2.0,L,1
Ford,Territory,New,0,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,780,Gas ,1.5,L,0
Ford,Everest,New,0,Imported,SUV,Automatic,7,5,RFD - Rear Wheel Drive,965,Diesel ,2.0,L,0
Ford,Everest,New,0,Imported,SUV,Automatic,7,5,RFD - Rear Wheel Drive,965,Diesel ,2.0,L,0
Hyundai,SantaFe,Used,105000,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,369,Diesel ,2.0,L,14
Kia,Morning,Used,28000,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,365,Gas ,1.25,L,2
Chevrolet,Aveo,Used,138000,Domestic,Sedan,Manual,5,4,FWD - Front Wheel Drive,95,Gas ,1.5,L,12
Ford,Focus,Used,0,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,345,Gas ,2.0,L,9
VinFast,Lux A 2.0,Used,14000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,665,Gas ,2.0,L,2
VinFast,Lux SA 2.0,Used,86000,Domestic,SUV,Automatic,7,5,Full Time 4 Wheel Drive,780,Gas ,2.0,L,2
VinFast,Lux A 2.0,Used,84000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,585,Gas ,2.0,L,4
Ford,Ranger,New,0,Domestic,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,657,Diesel ,2.0,L,0
Mazda,3,Used,120000,Imported,Sedan,Automatic,5,4,FWD - Front Wheel Drive,222,Gas ,2.0,L,14
